"PROVINCIE","BEVOEGD GEZAG NUMMER","BRIN NUMMER","INSTELLINGSNAAM","STRAATNAAM","HUISNUMMER-TOEVOEGING","POSTCODE","PLAATSNAAM","GEMEENTENUMMER","GEMEENTENAAM","DENOMINATIE","TELEFOONNUMMER","INTERNETADRES","ONDERWIJSSTRUCTUUR","STRAATNAAM CORRESPONDENTIEADRES","HUISNUMMER-TOEVOEGING CORRESPONDENTIEADRES","POSTCODE CORRESPONDENTIEADRES","PLAATSNAAM CORRESPONDENTIEADRES","NODAAL GEBIED CODE","NODAAL GEBIED NAAM","RPA-GEBIED CODE","RPA-GEBIED NAAM","WGR-GEBIED CODE","WGR-GEBIED NAAM","COROPGEBIED CODE","COROPGEBIED NAAM","ONDERWIJSGEBIED CODE","ONDERWIJSGEBIED NAAM","RMC-REGIO CODE","RMC-REGIO NAAM"
"Flevoland","42544","02JG","Emelwerda College Christelijke Scholengemeenschap voor Lwoo Mavo Havo Vwo","Peppellaan","1","8302AL","EMMELOORD","0171","NOORDOOSTPOLDER","Protestants-Christelijk","0527634567","www.emelwerda.nl/","VBO/MAVO/HAVO/VWO","Postbus","16","8300AA","EMMELOORD","17","Noordoostpolder","15","Flevoland","18","Flevoland","40","Flevoland","05","Zwolle-Meppel en omstreken","18","Flevoland"
"Flevoland","42620","01FP","Het Baken Stad College","Rooseveltweg","5","1314SJ","ALMERE","0034","ALMERE","Samenwerking PC, RK","0365307207","www.hetbaken.nl","VBO/MAVO/HAVO/VWO","Postbus","10015","1301AA","ALMERE","28","Harderwijk","15","Flevoland","18","Flevoland","40","Flevoland","10","Harderwijk-Amersfoort","18","Flevoland"
"Friesland","10028","19HY","Burg Walda Scholengemeenschap voor VMBO","Ballumerweg","24","9163GB","NES AMELAND","0060","AMELAND","Openbaar","0519542066","www.bws-ameland.nl","VBO/MAVO","Postbus","41","9163ZL","NES AMELAND","10","Leeuwarden","04","Fryslân","04","Friesland-Noord","04","Noord-Friesland","03","Friesland","04","Friesland Noord"
"Friesland","10867","19ET","Gemeentelijke Scholengemeenschap t Schylger Jouw voor vmbo","Zuid Midslandweg","8","8891GH","MIDSLAND","0093","TERSCHELLING","Openbaar","0562448531","www.schylgerjouw.nl","VBO/MAVO","Zuid Midslandweg","8","8891GH","MIDSLAND","10","Leeuwarden","04","Fryslân","04","Friesland-Noord","04","Noord-Friesland","03","Friesland","04","Friesland Noord"
"Friesland","13586","04YE","Openbare Scholengemeenschap Singelland voor Lyceum Havo Mavo Vbo Lwoo","Van Haersmasingel","37","9201KN","DRACHTEN","0090","SMALLINGERLAND","Openbaar","0512582345","www.singelland.nl","VBO/MAVO/HAVO/VWO/PRO","Postbus","112","9200AC","DRACHTEN","07","Smallingerland","04","Fryslân","06","Friesland-Oost","06","Zuidoost-Friesland","03","Friesland","06","Friesland-Oost ('de Friese Wouden')"
"Friesland","13603","14DC","RSG Simon Vestdijk voor Ath Havo Mavo Vbo","Koningin Julianastraat","3","8862TA","HARLINGEN","0072","HARLINGEN","Openbaar","0517432900","www.vestdijk.nl","VBO/MAVO/HAVO/VWO","Koningin Julianastraat","3","8862TA","HARLINGEN","10","Leeuwarden","04","Fryslân","04","Friesland-Noord","04","Noord-Friesland","03","Friesland","04","Friesland Noord"
"Friesland","13603","20DL","Openbare Scholengemeenschap Piter Jelles voor Lyceum Havo Mavo Vbo Lwoo","Dr. Jacob Botkeweg","3","8935AB","LEEUWARDEN","0080","LEEUWARDEN","Openbaar","0588801400","www.leeuwarderlyceum.piterjelles.nl","VBO/MAVO/HAVO/VWO/PRO","Dr. Jacob Botkeweg","3","8935AB","LEEUWARDEN","10","Leeuwarden","04","Fryslân","04","Friesland-Noord","04","Noord-Friesland","03","Friesland","04","Friesland Noord"
"Friesland","31126","12VI","Nordwin College","Gardeniersweg","2","8933AA","LEEUWARDEN","0080","LEEUWARDEN","Algemeen bijzonder","0582534000","www.nordwincollege.nl","VBO/MBO","Postbus","675","8901BL","LEEUWARDEN","10","Leeuwarden","04","Fryslân","04","Friesland-Noord","04","Noord-Friesland","03","Friesland","04","Friesland Noord"
"Friesland","31231","00ZV","Lauwers College Christelijk Scholengemeenschap voor Atheneum Havo Mavo Vbo","De Hoefslag","40","9285RV","BUITENPOST","0059","ACHTKARSPELEN","Protestants-Christelijk","0511542415","www.lauwerscollege.nl","VBO/MAVO/HAVO/VWO","Postbus","41","9285ZV","BUITENPOST","10","Leeuwarden","04","Fryslân","06","Friesland-Oost","04","Noord-Friesland","03","Friesland","06","Friesland-Oost ('de Friese Wouden')"
"Friesland","40065","00ZX","Dockingacollege Chr SGS VMBO/HAVO/VWO","Parklaan","5","9103ST","DOKKUM","1970","NOARDEAST-FRYSLAN","Protestants-Christelijk","0519229600","www.dockinga.nl","VBO/MAVO/HAVO/VWO","Postbus","66","9100AB","DOKKUM","10","Leeuwarden","04","Fryslân","04","Friesland-Noord","04","Noord-Friesland","03","Friesland","04","Friesland Noord"
