_id,Bevoegd Gezag,Sector,Groepering,Naam,Jaar,Lonen,Sociale lasten,Premies Participatiefonds,Premies Vervangingsfonds,Pensioenlasten,Lonen salarissen sociale lasten en pensioenlasten,Dotaties personele voorzieningen,Lasten personeel niet in loondienst,Overige overige personele lasten,Overige personele lasten,Vergoedingen uit het Participatiefonds,Vergoedingen uit het Vervangingsfonds,Overige uitkeringen die personeelslasten verminderen,Uitkeringen die personeelslasten verminderen,Personeelslasten,Afschrijvingen op immateriele vaste activa,Afschrijvingen op materiele vaste activa,Afschrijvingen,Huurlasten,Verzekeringslasten,Onderhoudslasten klein onderhoud,Lasten voor energie en water,Schoonmaakkosten,Belastingen en heffingen,Dotatie onderhoudsvoorziening,Overige overige huisvestingslasten,Huisvestingslasten,Administratie en beheerslasten,Inventaris en apparatuur,Leer en hulpmiddelen,Dotatie overige voorzieningen,Overige overige overige lasten,Overige lasten,Verstrekte subsidies,Gerealiseerde herwaardering,Verplichte afdrachten uit te voeren door OCW voor vso,Verplichte afdrachten uit te voeren door OCW voor Lwoo,Verplichte afdrachten uit te voeren door OCW voor pro,Verplichte afdrachten uit te voeren door OCW,Doorbetaling op basis van 1 februari vso,Doorbetaling op basis van 1 februari sbo,Doorbetaling op basis van 1 februari,Overige doorbetalingen van rijksbijdragen aan schoolbesturen,Doorbetalingen aan schoolbesturen,Accountantshonoraria voor het onderzoek van de jaarrekening,Accountantshonoraria voor andere controleopdrachten,Accountantshonoraria voor adviesdiensten op fiscaal terrein,Accountantshonoraria voor andere nietcontrolediensten,Accountantshonoraria
7029,73932,PO,BO3,Stg. Kathol. Onderwijs Borsele,2018,2328756,326679,106392,3962,312261,3078050,8007,8934,90073,107014,,,15909,15909,3169155,,98617,98617,15711,,26549,54444,17723,10936,101148,1994,228505,101153,9164,138621,,110547,359485,,,,,,,,,,,,9801,,,,9801
7030,74010,PO,SBO,Stg. Spec. Onderw. Reg.Helmond,2014,4018824,810178,,,580114,5409116,181079,59931,169902,410912,,,,258146,5561882,,117361,117361,,,31333,118521,97473,15995,50000,13016,326338,167337,155075,,,65456,387868,,,,,,,,,,,,4023,,,,4023
7031,74010,PO,SBO,Stg. Spec. Onderw. Reg.Helmond,2015,3857315,764942,,,481679,5103936,-120160,24283,105499,9622,,84432,87811,172243,4941315,,108523,108523,,,36695,104138,100117,15170,-147459,7719,116380,118595,142368,49117,,72999,383079,,,,,,,,,,,,22360,,,,22360
7032,74023,PO,SPEC,Stg. Exp.centr. A. v. Dijksch.,2014,2554645,623106,,,354829,3532580,18646,,188562,207208,,,,149642,3590146,,57297,57297,,,29016,80463,54248,10793,30000,12595,217115,152920,56986,,,61012,270918,,,,,,,,,,,,3267,,,,3267
7033,74023,PO,SPEC,Stg. Exp.centr. A. v. Dijksch.,2015,1527760,385899,,,185424,2099083,204260,,132572,336832,,122913,,122913,2313002,,32975,32975,,,13466,55193,29499,6303,137579,14442,256482,66974,36279,,,51189,154442,,,,,,,,,,,,3267,,,,3267
7034,74024,PO,BO1,Ver voor Chr Onderwijs,2014,722020,163974,,,98449,984443,3300,1407,18739,23446,,,,46221,961668,,23573,23573,,,6288,17524,19371,3418,,1047,47648,20857,39828,,,51709,112394,,,,,,,,,,,,2602,,,,2602
7035,74024,PO,BO1,Ver voor Chr Onderwijs,2015,644436,154209,,,80674,879319,2046,,16035,18081,,24190,6731,30921,866479,,23329,23329,,,5548,19070,19083,4127,,2901,50729,20420,235,38239,,35255,94149,,,,,,,,,,,,4114,,,,4114
7036,74049,PO,BO6,Stichting Signum,2014,21332227,5561180,,,3316159,30209566,,270995,836754,1107749,,,,343819,30973496,,843433,843433,377121,,625237,549697,737627,24570,150870,59131,2524253,531026,851462,,,1398061,2780549,,,,,,,,,,,,32836,5236,9801,,47873
7037,74049,PO,BO6,Stichting Signum,2015,24229388,5250285,,,2974742,32454415,53818,,-1539306,-1485488,,,398418,398418,30570509,,878080,878080,113907,,1848955,-4155,23021,10735,472259,-25962,2438760,667452,435425,476078,,1194108,2773063,,,,,,,,,,,,40956,1373,,,42329
7038,74049,PO,BO6,Stichting Signum,2016,25224997,4422043,,,2878225,32525265,48043,,-939713,-891670,,,469493,469493,31164102,,853278,853278,74327,,2043595,2869,10400,9795,433083,21844,2595913,643393,460246,454679,,969822,2528140,,,,,,,,,,,,41455,185,,,41640
